Rank,Release Group,Worldwide,Domestic,%,Foreign,%
186,Desperate for Marriage,"$3,878,443",-,-,"$3,878,443",100%
187,Un Autre Monde,"$3,864,348",-,-,"$3,864,348",100%
188,Saunkan Saunkne,"$3,822,831",-,-,"$3,822,831",100%
189,Die Känguru-Verschwörung,"$3,785,217",-,-,"$3,785,217",100%
190,King,"$3,774,866",-,-,"$3,774,866",100%
191,Between Two Worlds,"$3,774,484",-,-,"$3,774,484",100%
192,Tang and Me,"$3,720,837",-,-,"$3,720,837",100%
193,Naked Truth,"$3,628,553",-,-,"$3,628,553",100%
194,Disobedient,"$3,601,801",-,-,"$3,601,801",100%
195,The Glance of Music,"$3,599,476",-,-,"$3,599,476",100%
196,Special Delivery,"$3,581,156",-,-,"$3,581,156",100%
197,Koschey. The Bride Kidnapper,"$3,496,381",-,-,"$3,496,381",100%
198,Last Seen Alive,"$3,451,658",-,-,"$3,451,658",100%
199,I Love You,"$3,436,623",-,-,"$3,436,623",100%
200,Belli ciao,"$3,424,197",-,-,"$3,424,197",100%
